rank,flag,name,previous_rank,points,previous_points,confederation
181.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BLZ,Belize,181.0,910.74,910.74,CONCACAF
182.0,https://api.fifa.com/api/v3/picture/flags-sq-2/NEP,Nepal,182.0,902.52,902.52,AFC
183.0,https://api.fifa.com/api/v3/picture/flags-sq-2/DMA,Dominica,183.0,901.37,901.37,CONCACAF
184.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ASA,American Samoa,184.0,883.17,883.17,OFC
185.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MNG,Mongolia,185.0,879.75,879.75,AFC
186.0,https://api.fifa.com/api/v3/picture/flags-sq-2/COK,Cook Islands,186.0,877.53,877.53,OFC
187.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SAM,Samoa,187.0,876.41,876.41,OFC
188.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BRU,Brunei Darussalam,188.0,875.78,875.78,AFC
189.0,https://api.fifa.com/api/v3/picture/flags-sq-2/STP,São Tomé and Príncipe,189.0,871.63,871.63,CAF
190.0,https://api.fifa.com/api/v3/picture/flags-sq-2/LAO,Laos,190.0,871.16,871.16,AFC
191.0,https://api.fifa.com/api/v3/picture/flags-sq-2/ARU,Aruba,191.0,867.94,867.94,CONCACAF
192.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BHU,Bhutan,192.0,867.86,867.86,AFC
193.0,https://api.fifa.com/api/v3/picture/flags-sq-2/MAC,Macau,193.0,865.29,865.29,AFC
194.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SRI,Sri Lanka,194.0,857.4,857.4,AFC
195.0,https://api.fifa.com/api/v3/picture/flags-sq-2/CAY,Cayman Islands,195.0,851.74,851.74,CONCACAF
196.0,https://api.fifa.com/api/v3/picture/flags-sq-2/DJI,Djibouti,196.0,847.03,847.03,CAF
197.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TGA,Tonga,197.0,835.64,835.64,OFC
198.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TLS,Timor-Leste,198.0,835.55,835.55,AFC
199.0,https://api.fifa.com/api/v3/picture/flags-sq-2/PAK,Pakistan,199.0,833.16,833.16,AFC
200.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SOM,Somalia,200.0,828.9,828.9,CAF
201.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GUM,Guam,201.0,823.08,823.08,AFC
202.0,https://api.fifa.com/api/v3/picture/flags-sq-2/GIB,Gibraltar,202.0,818.03,818.03,UEFA
203.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SEY,Seychelles,203.0,805.33,805.33,CAF
204.0,https://api.fifa.com/api/v3/picture/flags-sq-2/TCA,Turks and Caicos Islands,204.0,803.98,803.98,CONCACAF
205.0,https://api.fifa.com/api/v3/picture/flags-sq-2/LIE,Liechtenstein,205.0,799.8,799.8,UEFA
206.0,https://api.fifa.com/api/v3/picture/flags-sq-2/BAH,Bahamas,206.0,796.6,796.6,CONCACAF
207.0,https://api.fifa.com/api/v3/picture/flags-sq-2/VIR,US Virgin Islands,207.0,776.6,776.6,CONCACAF
208.0,https://api.fifa.com/api/v3/picture/flags-sq-2/VGB,British Virgin Islands,208.0,776.54,776.54,CONCACAF
209.0,https://api.fifa.com/api/v3/picture/flags-sq-2/AIA,Anguilla,209.0,759.78,759.78,CONCACAF
210.0,https://api.fifa.com/api/v3/picture/flags-sq-2/SMR,San Marino,210.0,726.03,726.03,UEFA
,https://api.fifa.com/api/v3/picture/flags-sq-2/ERI,Eritrea,,855.56,0.0,CAF
